Tahun,HEC,GDP,HFCE,PLNHC,TNH,GDP,HFCE
2001-2000,2780043,256552100,182856700,1108807,1551900,50635800,29937700
2002-2001,660432,175511400,192309500,997843,1480800,64810700,34013600
2003-2002,1718378,191841200,140113500,1094229,582000,71954900,35843800
2004-2003,2882133,282151600,160810300,1098416,2630000,79345500,47515600
2005-2004,2602584,478454900,252708100,1078954,1674000,94298400,39696100
2006-2005,2566741,564935700,307059300,943338,-3985000,96311500,33123000
2007-2006,3573088,611676400,417848100,1566278,1064400,117200600,53919000
2008-2007,2860372,997795200,489453100,1340531,709700,118128800,60343700
2009-2008,4762049,657515000,291039000,1074759,705800,96394300,57879300
2010-2009,4879398,830067400,352429100,2224690,2941200,134987600,59202700
